         3472141 function calls (3350888 primitive calls) in 10.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   145/99    0.001    0.000    0.298    0.003 <frozen importlib._bootstrap_external>:1172(exec_module)
   145/99    0.054    0.000    0.297    0.003 {built-in method _imp.exec_dynamic}
      870    0.296    0.000    0.296    0.000 {built-in method marshal.loads}
     1045    0.023    0.000    0.296    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       57    0.004    0.000    0.294    0.005 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:146(reset_parameters)
     1735    0.016    0.000    0.288    0.000 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler_util.py:557(add)
        1    0.000    0.000    0.286    0.286 /home/pi/.local/lib/python3.8/site-packages/matplotlib/axes/__init__.py:1(<module>)
       57    0.004    0.000    0.278    0.005 /home/pi/.local/lib/python3.8/site-packages/torch/nn/init.py:366(kaiming_uniform_)
      114    0.267    0.002    0.267    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
        1    0.002    0.002    0.267    0.267 /home/pi/.local/lib/python3.8/site-packages/scipy/stats/_continuous_distns.py:6(<module>)
    14985    0.035    0.000    0.261    0.000 /usr/lib/python3.8/re.py:289(_compile)
     1045    0.003    0.000    0.253    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
1046/1045    0.009    0.000    0.251    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      502    0.007    0.000    0.247    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3119(reqs_for_extra)
        1    0.000    0.000    0.243    0.243 /home/pi/.local/lib/python3.8/site-packages/matplotlib/contour.py:1(<module>)
     1745    0.042    0.000    0.242    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     6784    0.143    0.000    0.242    0.000 /usr/lib/python3.8/inspect.py:625(cleandoc)
     2817    0.009    0.000    0.242    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/markers.py:227(evaluate)
