                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.44966,                0.34268,                 0.9825,                0.74339,                   0.55,                 0.7495,                0.56975,                 1.2554,                 1.5356,                 1.2894,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.41717,                0.39835,                0.94323,                0.74958,                   0.55,                0.73767,                0.56918,                  1.238,                 1.5248,                 1.2785,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.53643,                0.54254,                 1.1394,                0.74958,                   0.55,                0.73767,                0.56918,                  1.238,                 1.5248,                 1.2785,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.34819,                0.39189,                0.93572,                0.75444,                   0.55,                0.76491,                0.57173,                 1.2233,                 1.5199,                 1.2762,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.56893,                0.72206,                 1.0922,                0.75444,                   0.55,                0.76491,                0.57173,                 1.2233,                 1.5199,                 1.2762,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.43098,                0.34131,                 1.0192,                0.75687,                   0.55,                0.76538,                0.57611,                 1.2091,                 1.5311,                 1.2739,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.40709,                0.37065,                0.98157,                0.75687,                   0.55,                0.76538,                0.57611,                 1.2091,                 1.5311,                 1.2739,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.33866,                0.36419,                0.87994,                0.76103,                   0.55,                0.77404,                0.58526,                 1.1968,                 1.5365,                 1.2699,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.47035,                0.41851,                 1.0815,                0.76103,                   0.55,                0.77404,                0.58526,                 1.1968,                 1.5365,                 1.2699,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.72843,                  0.681,                  1.228,                0.76103,                   0.55,                0.77404,                0.58526,                 1.1968,                 1.5365,                 1.2699,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.55666,                0.46965,                 1.0736,                0.87376,                0.47239,                0.81095,                0.59738,                 1.1966,                 1.5632,                 1.2703,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.53775,                0.38968,                 1.0592,                0.87376,                0.47239,                0.81095,                0.59738,                 1.1966,                 1.5632,                 1.2703,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.54226,                0.54461,                 1.1968,                0.87376,                0.47239,                0.81095,                0.59738,                 1.1966,                 1.5632,                 1.2703,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.47419,                 0.4574,                  1.072,                0.77042,                0.52704,                0.74529,                0.57525,                 1.2209,                   1.62,                 1.2839,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.58748,                0.43198,                 1.0953,                0.77042,                0.52704,                0.74529,                0.57525,                 1.2209,                   1.62,                 1.2839,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 0.3911,                0.35099,                 1.0155,                0.77042,                0.52704,                0.74529,                0.57525,                 1.2209,                   1.62,                 1.2839,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.42432,                0.37396,                 1.0476,                0.87799,                 0.4552,                0.77512,                0.58105,                 1.2381,                 1.7105,                 1.2967,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.57811,                0.46758,                 1.1648,                0.87799,                 0.4552,                0.77512,                0.58105,                 1.2381,                 1.7105,                 1.2967,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.31872,                0.33793,                0.92603,                0.87799,                 0.4552,                0.77512,                0.58105,                 1.2381,                 1.7105,                 1.2967,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.45776,                0.50839,                 1.0617,                0.77392,                0.49798,                0.74924,                0.57744,                  1.258,                 1.7744,                 1.3137,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.52158,                0.43537,                 1.1241,                0.77392,                0.49798,                0.74924,                0.57744,                  1.258,                 1.7744,                 1.3137,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.42642,                0.45404,                 1.0687,                0.77392,                0.49798,                0.74924,                0.57744,                  1.258,                 1.7744,                 1.3137,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.52871,                0.53906,                 1.0314,                 0.7751,                0.49837,                0.74783,                0.57261,                  1.294,                  1.825,                 1.3401,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.30891,                0.48517,                0.82857,                 0.7751,                0.49837,                0.74783,                0.57261,                  1.294,                  1.825,                 1.3401,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.59016,                 0.9119,                 1.1455,                 0.7751,                0.49837,                0.74783,                0.57261,                  1.294,                  1.825,                 1.3401,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.42094,                0.31407,                0.96312,                0.77719,                0.49837,                0.66128,                0.48257,                 1.3081,                 1.8313,                 1.3453,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.47533,                0.39796,                 1.0562,                0.77719,                0.49837,                0.66128,                0.48257,                 1.3081,                 1.8313,                 1.3453,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.35046,                0.29894,                0.95281,                0.77719,                0.49837,                0.66128,                0.48257,                 1.3081,                 1.8313,                 1.3453,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.48858,                0.47049,                0.98088,                 0.7757,                0.49815,                0.64701,                0.44921,                 1.3223,                 1.8551,                 1.3541,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.50103,                 0.4653,                 1.0292,                 0.7757,                0.49815,                0.64701,                0.44921,                 1.3223,                 1.8551,                 1.3541,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.47548,                0.42632,                  1.021,                 0.7757,                0.49815,                0.64701,                0.44921,                 1.3223,                 1.8551,                 1.3541,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.61044,                0.41099,                 1.1618,                0.77637,                0.49794,                0.63107,                0.43533,                 1.3556,                 1.8972,                 1.3726,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.33606,                0.33946,                0.91839,                0.77637,                0.49794,                0.63107,                0.43533,                 1.3556,                 1.8972,                 1.3726,             2.2982e-05,             2.2982e-05,             2.2982e-05
