,model_name,latency,thread
159,yolov5l,4.060300143000859,3.0
160,yolov5l,4.0628877300005115,3.0
161,yolov5l,4.060802550999142,3.0
162,yolov5l,4.0696972780006035,3.0
163,yolov5l,4.053393956999571,3.0
164,yolov5l,4.062265718999697,3.0
165,yolov5l,4.063195057000485,3.0
166,yolov5l,4.064014527000836,3.0
167,yolov5l,4.048368836998634,3.0
168,yolov5l,4.056629824000993,3.0
169,yolov5l,4.058459748999667,3.0
170,yolov5l,4.061926103000587,3.0
171,yolov5l,4.066995740999118,3.0
172,yolov5l,4.077701161000732,3.0
173,yolov5l,4.057122111998979,3.0
174,yolov5l,4.064202032999674,3.0
175,yolov5l,4.06439709299957,3.0
176,yolov5l,4.063740224999492,3.0
177,yolov5l,4.061171583998657,3.0
178,yolov5l,4.06392955299998,3.0
179,yolov5l,4.063868377999825,3.0
180,yolov5l,4.058537865999824,3.0
181,yolov5l,4.063143329000013,3.0
182,yolov5l,4.06511662199955,3.0
183,yolov5l,4.0557505509987095,3.0
184,yolov5l,4.054788113000541,3.0
185,yolov5l,4.058864648999588,3.0
186,yolov5l,4.062781339000139,3.0
187,yolov5l,4.058206824000081,3.0
188,yolov5l,4.06471716499982,3.0
189,yolov5l,4.065169385001354,3.0
190,yolov5l,4.062775534999673,3.0
191,yolov5l,4.059709547000239,3.0
192,yolov5l,4.050322651000897,3.0
193,yolov5l,4.051934114000687,3.0
194,yolov5l,4.0583238800008985,3.0
195,yolov5l,4.064920953000183,3.0
196,yolov5l,4.055590529998881,3.0
197,yolov5l,4.060303067000859,3.0
198,yolov5l,4.063584143001208,3.0
199,yolov5l,4.0612125620009465,3.0
200,yolov5l,4.052615030999732,3.0
201,yolov5l,4.060899714999323,3.0
202,yolov5l,4.0636703460004355,3.0
203,yolov5l,4.057989154000097,3.0
204,yolov5l,4.060280304000116,3.0
205,yolov5l,4.069593499001712,3.0
206,yolov5l,4.0687265710002976,3.0
207,yolov5l,4.064325621000535,3.0
208,yolov5l,4.057594152000092,3.0
209,yolov5l,4.062625963000755,3.0
210,yolov5l,4.063042812998901,3.0
211,yolov5l,4.065385695001169,3.0
212,yolov5l,4.065046888999859,3.0
213,yolov5l,4.079800950999925,3.0
214,yolov5l,4.065922989999308,3.0
215,yolov5l,4.070739787001003,3.0
216,yolov5l,4.065382939999836,3.0
217,yolov5l,4.057861162000336,3.0
218,yolov5l,4.0519272060009826,3.0
219,yolov5l,4.060701450998749,3.0
220,yolov5l,4.052507381999021,3.0
221,yolov5l,4.065267112999209,3.0
222,yolov5l,4.0590870899995934,3.0
223,yolov5l,4.059106075001182,3.0
224,yolov5l,4.067516776998673,3.0
225,yolov5l,4.061646756999835,3.0
226,yolov5l,4.062208606999775,3.0
227,yolov5l,4.061747404999551,3.0
228,yolov5l,4.061154799999713,3.0
229,yolov5l,4.048432421999678,3.0
230,yolov5l,4.067306662000192,3.0
231,yolov5l,4.061598705000506,3.0
232,yolov5l,4.063143400999252,3.0
233,yolov5l,4.057491624000249,3.0
234,yolov5l,4.064372344000731,3.0
235,yolov5l,4.0625130999997054,3.0
236,yolov5l,4.062785879999865,3.0
237,yolov5l,4.06645330199899,3.0
238,yolov5l,4.069432415999472,3.0
239,yolov5l,4.062333342000784,3.0
240,yolov5l,4.059634922999976,3.0
241,yolov5l,4.057612181000877,3.0
242,yolov5l,4.060368116999598,3.0
243,yolov5l,4.056120203000319,3.0
244,yolov5l,4.062209227999119,3.0
245,yolov5l,4.059138152999367,3.0
246,yolov5l,4.059628011000314,3.0
247,yolov5l,4.052112687000772,3.0
248,yolov5l,4.0541857199987135,3.0
249,yolov5l,4.061940192999828,3.0
250,yolov5l,4.059147938000024,3.0
251,yolov5l,4.058195794001222,3.0
252,yolov5l,4.066519763000542,3.0
253,yolov5l,4.069282877999285,3.0
254,yolov5l,4.066263054999581,3.0
255,yolov5l,4.067486416000975,3.0
256,yolov5l,4.0653747050000675,3.0
257,yolov5l,4.057038385999476,3.0
258,yolov5l,4.050429889000952,3.0
259,yolov5l,4.0609534889990755,3.0
260,yolov5l,4.060205812998902,3.0
261,yolov5l,4.051410879999821,3.0
262,yolov5l,4.065628518001176,3.0
263,yolov5l,4.067859700000554,3.0
264,yolov5l,4.069038776000525,3.0
265,yolov5l,4.062500827001713,3.0
266,yolov5l,4.064751255998999,3.0
267,yolov5l,4.06873737999922,3.0
268,yolov5l,4.067606520999107,3.0
269,yolov5l,4.055703254000036,3.0
270,yolov5l,4.0600071379994915,3.0
271,yolov5l,4.056321981999645,3.0
272,yolov5l,4.068313898998895,3.0
273,yolov5l,4.0631042850000085,3.0
274,yolov5l,4.058063618000233,3.0
275,yolov5l,4.062854443000106,3.0
276,yolov5l,4.065352317998986,3.0
277,yolov5l,4.064427469998918,3.0
278,yolov5l,4.062756527000602,3.0
279,yolov5l,4.061636544000066,3.0
280,yolov5l,4.060996989999694,3.0
281,yolov5l,4.051673759999176,3.0
282,yolov5l,4.060274806999587,3.0
283,yolov5l,4.064483913000004,3.0
284,yolov5l,4.061448467000446,3.0
285,yolov5l,4.063894413000526,3.0
286,yolov5l,4.062814544999128,3.0
287,yolov5l,4.0680288590010605,3.0
288,yolov5l,4.05962915300006,3.0
289,yolov5l,4.063317754000309,3.0
290,yolov5l,4.061586342999362,3.0
291,yolov5l,4.060739931999706,3.0
292,yolov5l,4.0624083780003275,3.0
293,yolov5l,4.066468728000473,3.0
294,yolov5l,4.069080264000149,3.0
295,yolov5l,4.056437994000589,3.0
296,yolov5l,4.049461029999293,3.0
297,yolov5l,4.065985471999738,3.0
298,yolov5l,4.0630257230004645,3.0
299,yolov5l,4.063563783000063,3.0
