,Model,Framework,latency
416,MobileNetV2,TFLite,0.0423655580000286
417,MobileNetV2,TFLite,0.0424453910000011
418,MobileNetV2,TFLite,0.0427125879999721
419,MobileNetV2,TFLite,0.042442817000051
420,MobileNetV2,TFLite,0.0423009139999521
421,MobileNetV2,TFLite,0.0423121180000407
422,MobileNetV2,TFLite,0.0423096920000034
423,MobileNetV2,TFLite,0.0421494180000081
424,MobileNetV2,TFLite,0.0419649969999227
425,MobileNetV2,TFLite,0.0421741019999899
426,MobileNetV2,TFLite,0.041928256999995
427,MobileNetV2,TFLite,0.0420821239999895
428,MobileNetV2,TFLite,0.0421567329999561
429,MobileNetV2,TFLite,0.0421827509999275
430,MobileNetV2,TFLite,0.042431965999981
431,MobileNetV2,TFLite,0.0422593079999842
432,MobileNetV2,TFLite,0.0421487739999975
433,MobileNetV2,TFLite,0.042395044999921
434,MobileNetV2,TFLite,0.0422530860000733
435,MobileNetV2,TFLite,0.0424289889999727
436,MobileNetV2,TFLite,0.0422258090000013
437,MobileNetV2,TFLite,0.0424860980000403
438,MobileNetV2,TFLite,0.0421462369999972
439,MobileNetV2,TFLite,0.0422514009999304
440,MobileNetV2,TFLite,0.0425043019999975
441,MobileNetV2,TFLite,0.042288214999985
442,MobileNetV2,TFLite,0.0420716840000068
443,MobileNetV2,TFLite,0.0426182979999794
444,MobileNetV2,TFLite,0.0424402289999079
445,MobileNetV2,TFLite,0.0421690890000263
446,MobileNetV2,TFLite,0.0420630400000163
447,MobileNetV2,TFLite,0.0423539019999452
448,MobileNetV2,TFLite,0.0424501779999673
449,MobileNetV2,TFLite,0.0422690899999906
450,MobileNetV2,TFLite,0.0422446270000591
451,MobileNetV2,TFLite,0.0422862560000112
452,MobileNetV2,TFLite,0.0421761290000404
453,MobileNetV2,TFLite,0.0428817960000742
454,MobileNetV2,TFLite,0.0424309369999491
455,MobileNetV2,TFLite,0.0424648249999108
456,MobileNetV2,TFLite,0.0423039959999869
457,MobileNetV2,TFLite,0.0421337410000433
458,MobileNetV2,TFLite,0.0420403740000665
459,MobileNetV2,TFLite,0.0421068350000268
460,MobileNetV2,TFLite,0.0427116560000513
461,MobileNetV2,TFLite,0.0422307979999914
462,MobileNetV2,TFLite,0.0423540169999796
463,MobileNetV2,TFLite,0.0421203199999808
464,MobileNetV2,TFLite,0.0421820409999327
465,MobileNetV2,TFLite,0.0421465979999311
466,MobileNetV2,TFLite,0.0422095769999941
467,MobileNetV2,TFLite,0.0421404869999832
468,MobileNetV2,TFLite,0.0423897389999865
469,MobileNetV2,TFLite,0.0424965880000627
470,MobileNetV2,TFLite,0.0423310740000033
471,MobileNetV2,TFLite,0.0420365439999841
472,MobileNetV2,TFLite,0.0419796940000196
473,MobileNetV2,TFLite,0.0424530149999782
474,MobileNetV2,TFLite,0.0420725620000439
475,MobileNetV2,TFLite,0.0422447280000142
476,MobileNetV2,TFLite,0.0421976359999689
477,MobileNetV2,TFLite,0.0423628920000282
478,MobileNetV2,TFLite,0.0421766750000642
479,MobileNetV2,TFLite,0.0421923039999683
480,MobileNetV2,TFLite,0.0427554919999693
481,MobileNetV2,TFLite,0.0423486330000741
482,MobileNetV2,TFLite,0.0426736240000309
483,MobileNetV2,TFLite,0.0421405829999912
484,MobileNetV2,TFLite,0.0422332839999626
485,MobileNetV2,TFLite,0.0421846190000678
486,MobileNetV2,TFLite,0.042198932999895
487,MobileNetV2,TFLite,0.0421854149999489
488,MobileNetV2,TFLite,0.0425623679999489
489,MobileNetV2,TFLite,0.042233656999997
490,MobileNetV2,TFLite,0.0421920490000502
491,MobileNetV2,TFLite,0.0424244680000356
492,MobileNetV2,TFLite,0.0421369760000516
493,MobileNetV2,TFLite,0.0423681739999892
494,MobileNetV2,TFLite,0.0421221980000154
495,MobileNetV2,TFLite,0.0423899139999548
496,MobileNetV2,TFLite,0.0423668770000631
497,MobileNetV2,TFLite,0.0422132699999338
498,MobileNetV2,TFLite,0.0423888950000446
499,MobileNetV2,TFLite,0.0422930280000173
500,MobileNetV2,TFLite,0.0422220850000485
501,MobileNetV2,TFLite,0.0423841359998959
