,model_name,os,api,latency
1154,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429986569999982
1155,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043276856000034
1156,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431168979999938
1157,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428604580000637
1158,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434073000000125
1159,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433056169999872
1160,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0426715720000174
1161,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435462979999101
1162,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431749159999981
1163,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430592689999684
1164,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431691200000159
1165,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434007260000726
1166,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432775440000341
1167,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433008400000289
1168,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0436603530000638
1169,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0427866080000285
1170,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428933089999645
1171,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433215630000631
1172,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428940889999012
1173,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432016209999801
1174,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431067700000085
1175,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434662090000301
1176,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431629920000204
1177,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430687529999431
1178,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431243259999973
1179,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431713259999924
1180,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430590119999578
1181,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431772509999746
1182,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428475529998877
1183,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431600289999778
1184,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428614969999898
1185,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434295630000178
