         2485239 function calls (2437267 primitive calls) in 18.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.155    0.019    0.542    0.068 classification_v2.py:217(preprocess_image_tflite_mobilenet2)
      906    0.003    0.000    0.535    0.001 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/dispatch.py:1100(add_dispatch_support)
      906    0.008    0.000    0.533    0.001 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/dispatch.py:1151(decorator)
        1    0.000    0.000    0.530    0.530 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/data/util/nest.py:16(<module>)
        1    0.000    0.000    0.528    0.528 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/sparse_tensor.py:15(<module>)
        1    0.001    0.001    0.526    0.526 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/variable_scope.py:15(<module>)
        1    0.002    0.002    0.511    0.511 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v1/compat/v1/__init__.py:15(<module>)
        1    0.001    0.001    0.492    0.492 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v1/compat/v2/__init__.py:15(<module>)
     3604    0.016    0.000    0.489    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_inspect.py:259(getfullargspec)
        1    0.000    0.000    0.487    0.487 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/csgraph/__init__.py:1(<module>)
        1    0.001    0.001    0.485    0.485 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v2/__init__.py:15(<module>)
        1    0.000    0.000    0.482    0.482 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/saving/hdf5_format.py:16(<module>)
        1    0.000    0.000    0.478    0.478 /home/pi/.local/lib/python3.8/site-packages/h5py/__init__.py:10(<module>)
     2896    0.070    0.000    0.476    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_decorator.py:78(fullargspec_to_signature)
        1    0.000    0.000    0.464    0.464 /home/pi/.local/lib/python3.8/site-packages/pandas/core/groupby/__init__.py:1(<module>)
     3611    0.095    0.000    0.463    0.000 /usr/lib/python3.8/inspect.py:1102(getfullargspec)
     4334    0.033    0.000    0.461    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_decorator.py:308(__init__)
        1    0.000    0.000    0.460    0.460 /home/pi/.local/lib/python3.8/site-packages/pandas/core/groupby/generic.py:1(<module>)
        1    0.000    0.000    0.458    0.458 /home/pi/.local/lib/python3.8/site-packages/keras/api/__init__.py:3(<module>)
        1    0.000    0.000    0.456    0.456 /home/pi/.local/lib/python3.8/site-packages/keras/api/keras/__init__.py:3(<module>)
        1    0.000    0.000    0.433    0.433 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v2/compat/__init__.py:3(<module>)
        1    0.000    0.000    0.424    0.424 /home/pi/.local/lib/python3.8/site-packages/pandas/compat/__init__.py:1(<module>)
        1    0.000    0.000    0.419    0.419 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:15(<module>)
        1    0.001    0.001    0.417    0.417 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v2/compat/v2/__init__.py:15(<module>)
        1    0.000    0.000    0.414    0.414 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/csgraph/_laplacian.py:1(<module>)
        1    0.000    0.000    0.412    0.412 /home/pi/.local/lib/python3.8/site-packages/tensorflow/compiler/tf2xla/python/xla.py:15(<module>)
        1    0.000    0.000    0.412    0.412 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/linalg/__init__.py:1(<module>)
        1    0.001    0.001    0.412    0.412 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/eager/context.py:15(<module>)
        1    0.000    0.000    0.400    0.400 /home/pi/.local/lib/python3.8/site-packages/pandas/compat/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.398    0.398 /home/pi/.local/lib/python3.8/site-packages/pandas/util/__init__.py:2(<module>)
        1    0.000    0.000    0.385    0.385 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/init_ops.py:15(<module>)
        1    0.001    0.001    0.382    0.382 /home/pi/.local/lib/python3.8/site-packages/pandas/core/frame.py:1(<module>)
3383/3252    0.008    0.000    0.379    0.000 /home/pi/.local/lib/python3.8/site-packages/_distutils_hack/__init__.py:89(find_spec)
        1    0.000    0.000    0.365    0.365 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/distribute/distribute_coordinator_utils.py:15(<module>)
        1    0.000    0.000    0.363    0.363 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:15(<module>)
      2/1    0.000    0.000    0.360    0.360 /home/pi/.local/lib/python3.8/site-packages/_distutils_hack/__init__.py:99(spec_for_distutils)
        1    0.000    0.000    0.358    0.358 /home/pi/.local/lib/python3.8/site-packages/setuptools/__init__.py:1(<module>)
        1    0.000    0.000    0.355    0.355 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/training/monitored_session.py:16(<module>)
        1    0.000    0.000    0.354    0.354 /home/pi/.local/lib/python3.8/site-packages/pandas/io/api.py:1(<module>)
    58794    0.315    0.000    0.354    0.000 /usr/lib/python3.8/enum.py:313(__call__)
     6930    0.022    0.000    0.348    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     6472    0.011    0.000    0.346    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        8    0.005    0.001    0.342    0.043 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:2089(resize)
        1    0.000    0.000    0.342    0.342 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/linalg/_isolve/__init__.py:1(<module>)
        1    0.000    0.000    0.341    0.341 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v1/lite/__init__.py:3(<module>)
        1    0.000    0.000    0.340    0.340 /home/pi/.local/lib/python3.8/site-packages/pandas/util/_decorators.py:1(<module>)
        1    0.000    0.000    0.338    0.338 /home/pi/.local/lib/python3.8/site-packages/pandas/_libs/__init__.py:2(<module>)
        1    0.000    0.000    0.328    0.328 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v1/lite/experimental/__init__.py:3(<module>)
        1    0.000    0.000    0.322    0.322 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/checkpoint/checkpoint.py:1(<module>)
        1    0.000    0.000    0.313    0.313 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/eager/execute.py:15(<module>)
        1    0.000    0.000    0.313    0.313 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v1/lite/experimental/authoring/__init__.py:3(<module>)
     3130    0.312    0.000    0.312    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.309    0.309 /home/pi/.local/lib/python3.8/site-packages/tensorflow/lite/python/authoring/authoring.py:15(<module>)
        1    0.002    0.002    0.309    0.309 /home/pi/.local/lib/python3.8/site-packages/keras/backend.py:17(<module>)
     3387    0.011    0.000    0.304    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.293    0.293 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/checkpoint/graph_view.py:1(<module>)
      661    0.006    0.000    0.292    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/registry.py:43(register)
     7856    0.264    0.000    0.291    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.283    0.283 /home/pi/.local/lib/python3.8/site-packages/pandas/core/generic.py:2(<module>)
        1    0.000    0.000    0.283    0.283 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/layers/core.py:15(<module>)
        1    0.000    0.000    0.279    0.279 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/checkpoint/save_util_v1.py:15(<module>)
      661    0.005    0.000    0.277    0.000 /usr/lib/python3.8/traceback.py:200(extract_stack)
        1    0.000    0.000    0.277    0.277 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/checkpoint/util.py:15(<module>)
        1    0.002    0.002    0.277    0.277 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/standard_ops.py:17(<module>)
        1    0.000    0.000    0.274    0.274 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/training/optimizer.py:16(<module>)
      661    0.021    0.000    0.271    0.000 /usr/lib/python3.8/traceback.py:321(extract)
        1    0.000    0.000    0.268    0.268 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/autograph/impl/conversion.py:15(<module>)
     3308    0.047    0.000    0.266    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.264    0.264 /home/pi/.local/lib/python3.8/site-packages/pandas/_libs/tslibs/__init__.py:2(<module>)
109041/108852    0.079    0.000    0.261    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.249    0.249 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/mixed_precision/loss_scale_optimizer.py:15(<module>)
    14494    0.180    0.000    0.249    0.000 /usr/lib/python3.8/inspect.py:2772(__init__)
     1862    0.010    0.000    0.245    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_inspect.py:120(getargspec)
      321    0.010    0.000    0.243    0.001 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/deprecation.py:331(deprecated_wrapper)
        1    0.000    0.000    0.238    0.238 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/linalg/_isolve/lgmres.py:4(<module>)
        1    0.000    0.000    0.236    0.236 /home/pi/.local/lib/python3.8/site-packages/keras/engine/keras_tensor.py:15(<module>)
        1    0.000    0.000    0.235    0.235 /home/pi/.local/lib/python3.8/site-packages/scipy/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.234    0.234 /home/pi/.local/lib/python3.8/site-packages/keras/utils/__init__.py:15(<module>)
     1233    0.008    0.000    0.233    0.000 /usr/lib/python3.8/re.py:289(_compile)
        1    0.002    0.002    0.232    0.232 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:16(<module>)
        1    0.000    0.000    0.228    0.228 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/callbacks.py:17(<module>)
        1    0.000    0.000    0.226    0.226 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/numpy_ops/__init__.py:15(<module>)
     1862    0.009    0.000    0.224    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_inspect.py:76(_getargspec)
        1    0.000    0.000    0.222    0.222 /home/pi/.local/lib/python3.8/site-packages/keras/api/keras/datasets/__init__.py:3(<module>)
      243    0.000    0.000    0.220    0.001 /usr/lib/python3.8/re.py:250(compile)
      182    0.003    0.000    0.220    0.001 /usr/lib/python3.8/sre_compile.py:759(compile)
        8    0.213    0.027    0.213    0.027 {method 'resize' of 'ImagingCore' objects}
        1    0.000    0.000    0.213    0.213 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/debug/__init__.py:15(<module>)
        1    0.000    0.000    0.209    0.209 /home/pi/.local/lib/python3.8/site-packages/requests/__init__.py:6(<module>)
     6260    0.075    0.000    0.208    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     1108    0.031    0.000    0.205    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/dispatch.py:547(add_type_based_api_dispatcher)
