,model_name,api,inference type,latency avg,latency,variance
45,yolov5l,Openvino,det,4.089123034262024,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5l/yolov5l_ov_det_2024_5_22_16_25_ubuntus_3_onlylat.csv,0.029520842010936157
46,yolov5l,PyTorch,det,8.472705778521009,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5l/_pytorch_det_2025_5_6_11_16_ubuntus_3_onlylat.csv,0.005061924113367789
47,yolov5m,PyTorch,det,4.305250943016007,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5m/_pytorch_det_2025_5_6_13_55_ubuntus_3_onlylat.csv,0.0009263572099691559
48,yolov5n,PyTorch,det,1.0456038711819966,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5n/_pytorch_det_2025_5_6_15_34_ubuntus_3_onlylat.csv,0.00028800267361933136
49,yolov5s,PyTorch,det,2.021437639671016,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5s/_pytorch_det_2025_5_6_16_18_ubuntus_3_onlylat.csv,0.00025257427977944753
56,MobileNetV2,Openvino,class,0.1006177049209983,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v2-1.4-224_FP32/mobilenet-v2-14-224_FP32_ov_class_2024_6_12_20_26_ubuntus_3_onlylat.csv,1.0797796355461556e-06
58,MobileNetV3 Large,Openvino,class,0.0495265114409983,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-large-1.0-224-tf_FP32/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_6_12_20_23_ubuntus_3_onlylat.csv,1.873903717735394e-07
60,MobileNetV3 Small,Openvino,class,0.0206180166490017,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-small-1.0-224-tf_FP32/mobilenet-v3-small-10-224-tf_FP32_ov_class_2024_6_12_20_25_ubuntus_3_onlylat.csv,9.237940741452636e-08
64,yolov5l,Armnn Delegate,det,3.304977297926006,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5l/yolov5l-fp16_delegate_det_2024_11_25_23_9_ubuntus_3_onlylat.csv,0.03911957458380049
65,yolov5m,Armnn Delegate,det,1.7239822932100106,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5m/yolov5m-fp16_delegate_det_2024_11_26_0_5_ubuntus_3_onlylat.csv,0.0034363650519403403
66,yolov5n,Armnn Delegate,det,0.3922528115451495,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5n/yolov5n-fp16_delegate_det_2024_11_26_8_22_ubuntus_3_onlylat.csv,8.830472555847352e-05
67,yolov5s,Armnn Delegate,det,0.8447081222078341,/Users/marounel-chayeb/BacArbeit/final_results/results/det/delegate/yolov5s/yolov5s-fp16_delegate_det_2024_11_26_8_30_ubuntus_3_onlylat.csv,0.0005894475596718661
68,DeeplabV3 MobileNetV3 Large,Openvino,seg,1.4153439430109394,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/ov/deeplabv3_FP32/deeplabv3_FP32_ov_seg_2024_11_26_14_13_ubuntus_3_onlylat.csv,2.805501105232454e-06
69,DeeplabV3 MobileNetV2 FP32,Tensorflow,seg,1.5449291518009964,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/tf/lite-model_deeplabv3-mobilenetv2_1_default_1/lite-model_deeplabv3-mobilenetv2_1_default_1_tf_seg_2024_11_28_23_58_ubuntus_3_onlylat.csv,2.6847918869782887e-05
70,DeeplabV3 MobileNetV2 FP32,Armnn Delegate,seg,2.7991116133689538,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/delegate/lite-model_deeplabv3-mobilenetv2_1_default_1/lite-model_deeplabv3-mobilenetv2_1_default_1_delegate_seg_2024_11_29_7_4_ubuntus_3_onlylat.csv,0.0004289093909943992
73,DeeplabV3 MobileNetV3 Large,PyTorch,seg,2.140868339128039,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/pytorch/deeplabv3_mobilenet_v3_large/deeplabv3_mobilenet_v3_large_pytorch_seg_2024_11_26_17_8_ubuntus_3_onlylat.csv,0.007309104207711665
74,DeeplabV3 MobileNetV3 Large,Onnx,seg,1.314062003390004,/Users/marounel-chayeb/BacArbeit/final_results/results/seg/onnx/deeplabv3_mobilenet_v3_large/deeplabv3_mobilenet_v3_large_onnx_seg_2025_4_21_14_43_ubuntus_3_onlylat.csv,5.2938793534915655e-05
