,model_name,latency,thread,api
10143,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658836570000289,1,delegate
10144,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659687680000047,1,delegate
10145,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658137320000378,1,delegate
10146,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660555630000203,1,delegate
10147,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658016379999821,1,delegate
10148,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660107310000057,1,delegate
10149,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656849730000317,1,delegate
10150,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658496940000077,1,delegate
10151,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658953980000092,1,delegate
10152,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658354720000033,1,delegate
10153,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657148610000035,1,delegate
10154,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661351190000232,1,delegate
10155,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660324709999713,1,delegate
10156,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660631929999908,1,delegate
10157,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657792129999847,1,delegate
10158,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659884899999951,1,delegate
10159,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660302860000001,1,delegate
10160,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660562850000019,1,delegate
10161,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656501950000461,1,delegate
10162,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659429340000201,1,delegate
10163,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657719909999627,1,delegate
10164,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658792500000231,1,delegate
10165,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659265090000076,1,delegate
10166,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661250809999955,1,delegate
10167,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659943969999972,1,delegate
10168,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661183409999921,1,delegate
10169,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659763050000492,1,delegate
10170,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661587110000141,1,delegate
10171,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066042192999987,1,delegate
10172,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658156940000367,1,delegate
10173,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661120249999953,1,delegate
10174,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660795260000099,1,delegate
10175,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660826740000288,1,delegate
10176,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658965640000133,1,delegate
10177,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065675251000016,1,delegate
10178,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659031010000035,1,delegate
10179,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658108979999951,1,delegate
10180,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658938600000169,1,delegate
10181,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658003059999714,1,delegate
10182,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659839350000197,1,delegate
10183,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065863859999979,1,delegate
10184,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660720079999919,1,delegate
10185,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659146200000009,1,delegate
10186,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066096248000008,1,delegate
10187,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659224710000216,1,delegate
10188,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660125079999716,1,delegate
10189,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659665269999436,1,delegate
10190,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659882489999859,1,delegate
10191,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659495269999865,1,delegate
10192,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658723049999707,1,delegate
10193,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658816939999837,1,delegate
10194,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065866045000007,1,delegate
10195,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065571918000046,1,delegate
10196,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658348239999782,1,delegate
10197,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660365079999678,1,delegate
10198,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659121200000072,1,delegate
10199,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0662137109999889,1,delegate
10200,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661429519999501,1,delegate
10201,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660014339999861,1,delegate
10202,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659289900000317,1,delegate
10203,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659788609999623,1,delegate
10204,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659851560000106,1,delegate
10205,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658969899999988,1,delegate
10206,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661691000000246,1,delegate
10207,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658736750000343,1,delegate
10208,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660253039999929,1,delegate
10209,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660277119999932,1,delegate
10210,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657537499999989,1,delegate
10211,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659286189999761,1,delegate
10212,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658191759999908,1,delegate
10213,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065784361999988,1,delegate
10214,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065871138000034,1,delegate
10215,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658448609999595,1,delegate
10216,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658221759999833,1,delegate
10217,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661105819999647,1,delegate
10218,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661628959999802,1,delegate
10219,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658725089999734,1,delegate
10220,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0662453769999729,1,delegate
10221,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661739880000027,1,delegate
10222,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659691010000074,1,delegate
10223,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658800460000179,1,delegate
10224,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661271739999733,1,delegate
10225,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659926929999983,1,delegate
10226,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659038420000115,1,delegate
10227,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657585829999902,1,delegate
10228,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660207490000175,1,delegate
10229,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661062670000092,1,delegate
10230,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660143410000273,1,delegate
10231,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660209519999739,1,delegate
10232,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661718029999747,1,delegate
10233,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658320470000148,1,delegate
10234,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660362110000392,1,delegate
10235,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659606750000421,1,delegate
10236,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659932490000301,1,delegate
10237,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660859159999631,1,delegate
10238,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658673800000428,1,delegate
10239,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065723805999994,1,delegate
10240,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658845830000132,1,delegate
10241,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0655583810000166,1,delegate
10242,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656564919999596,1,delegate
10243,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658642690000306,1,delegate
10244,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658268980000116,1,delegate
10245,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658980270000029,1,delegate
10246,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659498789999588,1,delegate
10247,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659739529999683,1,delegate
10248,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660927490000062,1,delegate
10249,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657269550000023,1,delegate
10250,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660486369999944,1,delegate
10251,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661077480000358,1,delegate
10252,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661188409999908,1,delegate
10253,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0662352479999981,1,delegate
10254,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661538219999897,1,delegate
10255,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660888789999489,1,delegate
10256,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0662169139999946,1,delegate
10257,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659186930000146,1,delegate
10258,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659556749999978,1,delegate
10259,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657470279999756,1,delegate
10260,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066153617999987,1,delegate
10261,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660710080000512,1,delegate
10262,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658985829999778,1,delegate
10263,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660636189999763,1,delegate
10264,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659292860000277,1,delegate
10265,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659468040000206,1,delegate
10266,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658967680000159,1,delegate
10267,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659306199999605,1,delegate
10268,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658713060000195,1,delegate
10269,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659009720000085,1,delegate
10270,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066036175000022,1,delegate
10271,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659183239999947,1,delegate
10272,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659828779999998,1,delegate
10273,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0664439509999965,1,delegate
10274,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658732310000118,1,delegate
10275,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657071769999788,1,delegate
10276,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658322500000281,1,delegate
10277,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065996785999971,1,delegate
10278,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657407319999947,1,delegate
10279,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658952859999999,1,delegate
10280,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660256749999916,1,delegate
10281,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660951369999907,1,delegate
10282,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066096248000008,1,delegate
10283,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659833970000249,1,delegate
10284,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661587479999639,1,delegate
10285,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660120269999993,1,delegate
10286,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659536570000227,1,delegate
10287,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656413069999644,1,delegate
10288,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659688979999941,1,delegate
10289,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660063779999973,1,delegate
10290,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066220525999995,1,delegate
10291,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659739530000251,1,delegate
10292,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658904169999914,1,delegate
10293,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658778979999965,1,delegate
10294,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661504889999946,1,delegate
10295,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660265449999997,1,delegate
10296,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656925279999995,1,delegate
10297,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659086940000293,1,delegate
10298,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066039212000021,1,delegate
10299,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656654729999672,1,delegate
10300,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659825820000037,1,delegate
10301,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659418790000359,1,delegate
10302,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659542870000109,1,delegate
10303,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657934719999957,1,delegate
10304,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659399909999933,1,delegate
10305,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658461760000364,1,delegate
10306,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658130090000099,1,delegate
10307,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659056199999668,1,delegate
10308,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066079674999969,1,delegate
10309,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658165840000037,1,delegate
10310,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658633610000265,1,delegate
10311,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658418429999869,1,delegate
10312,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659118419999913,1,delegate
10313,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657326769999713,1,delegate
10314,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659138419999862,1,delegate
10315,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659366200000022,1,delegate
10316,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065696196000033,1,delegate
