                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                0.61767,                0.54758,                 1.0478,                0.73366,                0.71667,                0.88567,                0.58886,                 1.1834,                 1.0297,                 1.1774,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.55958,                0.66651,                 1.1848,                0.73366,                0.71667,                0.88567,                0.58886,                 1.1834,                 1.0297,                 1.1774,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.43416,                0.60171,                0.94694,                0.70915,                0.71667,                0.80224,                0.55791,                 1.2003,                 1.0461,                 1.1896,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.53823,                0.48413,                 0.9895,                0.70915,                0.71667,                0.80224,                0.55791,                 1.2003,                 1.0461,                 1.1896,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0189,                0.99165,                 1.5423,                0.69757,                0.71667,                 0.8001,                0.53025,                 1.2187,                 1.0862,                 1.1993,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.66902,                0.71348,                 1.1985,                0.69757,                0.71667,                 0.8001,                0.53025,                 1.2187,                 1.0862,                 1.1993,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.63082,                 0.5621,                 1.1089,                0.71156,                0.71667,                0.77115,                0.52688,                 1.2476,                 1.1526,                 1.2124,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.47136,                0.57096,                 1.0206,                0.71156,                0.71667,                0.77115,                0.52688,                 1.2476,                 1.1526,                 1.2124,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.56746,                 0.5817,                 1.0148,                 0.7332,                0.71667,                0.79862,                0.52281,                 1.2824,                 1.2064,                 1.2221,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.47483,                0.45002,                 1.0636,                 0.7332,                0.71667,                0.79862,                0.52281,                 1.2824,                 1.2064,                 1.2221,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.63867,                0.81641,                 1.2431,                0.90728,                0.56175,                0.79598,                  0.519,                  1.329,                 1.2612,                 1.2348,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 0.5148,                0.41655,                0.90825,                0.90728,                0.56175,                0.79598,                  0.519,                  1.329,                 1.2612,                 1.2348,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.76381,                0.73264,                 1.3372,                0.90298,                0.56333,                 0.7051,                0.48675,                 1.3872,                 1.3228,                 1.2591,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 0.7268,                 0.7064,                 1.1835,                0.90298,                0.56333,                 0.7051,                0.48675,                 1.3872,                 1.3228,                 1.2591,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.52355,                0.47187,                 1.0845,                0.89851,                0.56462,                0.70474,                0.48378,                 1.4173,                 1.3825,                 1.2784,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.39068,                0.37588,                0.96858,                0.89851,                0.56462,                0.70474,                0.48378,                 1.4173,                 1.3825,                 1.2784,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.48701,                0.47469,                 1.0132,                0.89673,                0.56486,                0.70264,                0.48234,                 1.4478,                 1.4458,                    1.3,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.55795,                0.52665,                 1.1038,                0.89673,                0.56486,                0.70264,                0.48234,                 1.4478,                 1.4458,                    1.3,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.52054,                0.41085,                 1.0209,                0.88976,                0.56667,                 0.7017,                 0.4795,                 1.4762,                 1.5196,                 1.3218,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.58353,                0.73498,                 1.0776,                0.88976,                0.56667,                 0.7017,                 0.4795,                 1.4762,                 1.5196,                 1.3218,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 0.4819,                0.33964,                 1.0383,                0.88471,                0.56667,                0.70363,                0.47538,                 1.5148,                   1.57,                 1.3591,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.45788,                0.40601,                  1.011,                0.88471,                0.56667,                0.70363,                0.47538,                 1.5148,                   1.57,                 1.3591,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.37739,                0.56942,                 0.9145,                0.89141,                0.56667,                0.66595,                0.46436,                 1.5382,                 1.6362,                 1.3881,             3.0048e-05,             3.0048e-05,             3.0048e-05
