                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.60775,                0.69758,                  1.163,                0.78126,                0.71439,                0.75469,                0.54917,                 1.2434,                 1.5675,                 1.2466,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.71917,                0.63695,                 1.2211,                0.78126,                0.71439,                0.75469,                0.54917,                 1.2434,                 1.5675,                 1.2466,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.42389,                0.36541,                 1.0264,                0.78326,                0.71253,                0.75074,                0.54717,                 1.3095,                 1.6432,                 1.3106,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 0.4344,                 0.4115,                 0.9832,                0.78326,                0.71253,                0.75074,                0.54717,                 1.3095,                 1.6432,                 1.3106,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.44654,                0.45631,                0.98111,                0.68535,                0.63333,                0.71893,                0.54154,                 1.3146,                 1.6885,                 1.3206,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.56494,                0.49587,                 1.1289,                0.68535,                0.63333,                0.71893,                0.54154,                 1.3146,                 1.6885,                 1.3206,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.39185,                0.40536,                0.94832,                0.68994,                0.63333,                0.72591,                0.54592,                 1.3041,                 1.7259,                 1.3158,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.56159,                0.73532,                  1.078,                0.68994,                0.63333,                0.72591,                0.54592,                 1.3041,                 1.7259,                 1.3158,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 0.4661,                0.32925,                 1.0353,                 0.6977,                0.63333,                0.72595,                0.54654,                 1.2873,                 1.7426,                 1.3027,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.40757,                0.38349,                0.96483,                 0.6977,                0.63333,                0.72595,                0.54654,                 1.2873,                 1.7426,                 1.3027,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.31886,                0.34855,                0.87313,                0.71118,                0.61404,                0.72215,                0.55682,                 1.2844,                 1.7286,                 1.3079,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.57827,                0.52227,                 1.1442,                0.71118,                0.61404,                0.72215,                0.55682,                 1.2844,                 1.7286,                 1.3079,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.78609,                0.76052,                 1.2695,                0.71118,                0.61404,                0.72215,                0.55682,                 1.2844,                 1.7286,                 1.3079,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.53287,                0.49024,                 1.0409,                0.71441,                0.60319,                0.72733,                0.55669,                 1.2842,                 1.7364,                 1.3142,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.51251,                0.35361,                 1.0275,                0.71441,                0.60319,                0.72733,                0.55669,                 1.2842,                 1.7364,                 1.3142,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.54572,                 0.5291,                 1.1439,                0.71441,                0.60319,                0.72733,                0.55669,                 1.2842,                 1.7364,                 1.3142,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.52582,                 0.5541,                 1.1004,                0.72409,                0.59891,                0.72668,                0.55866,                 1.3063,                 1.7801,                 1.3342,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.57881,                0.50154,                 1.0741,                0.72409,                0.59891,                0.72668,                0.55866,                 1.3063,                 1.7801,                 1.3342,             2.9554e-05,             2.9554e-05,             2.9554e-05
