model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency
mobilenet-v3-small-1.0-224-tf_FP16,raspberryos,ov,class,0.0211505938500058,0.8046,0.8793,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-small-1.0-224-tf_FP16/mobilenet-v3-small-10-224-tf_FP16_ov_class_2024_3_9_21_16_raspberryos_onlylat.csv
mobilenet_v3_large,ubuntus,pytorch,class,0.2656031445889821,0.8767,0.9433,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v3_large/mobilenet_v3_large_pytorch_class_2024_3_8_13_9_ubuntus_onlylat.csv
mobilenet_v3_large,raspberryos,pytorch,class,0.2636497166670031,0.8767,0.9433,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v3_large/mobilenet_v3_large_pytorch_class_2024_3_9_20_57_raspberryos_onlylat.csv
mobilenet_v3_large_q,ubuntus,pytorch,class,0.031821044916005,0.8713,0.9375,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v3_large_q/mobilenet_v3_large_q_pytorch_class_2024_3_8_13_36_ubuntus_onlylat.csv
mobilenet_v3_large_q,raspberryos,pytorch,class,0.0314779467030015,0.8713,0.9375,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v3_large_q/mobilenet_v3_large_q_pytorch_class_2024_3_9_21_12_raspberryos_onlylat.csv
mobilenet_v3_small,ubuntus,pytorch,class,0.115265578747023,0.8246,0.8974,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v3_small/mobilenet_v3_small_pytorch_class_2024_3_8_13_16_ubuntus_onlylat.csv
mobilenet_v3_small,raspberryos,pytorch,class,0.1159914601200034,0.8246,0.8974,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v3_small/mobilenet_v3_small_pytorch_class_2024_3_9_21_2_raspberryos_onlylat.csv
mobilenet_v2,ubuntus,pytorch,class,0.3593008331569981,0.8655,0.9284,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v2/mobilenet_v2_pytorch_class_2024_3_8_13_19_ubuntus_onlylat.csv
mobilenet_v2,raspberryos,pytorch,class,0.3537111803739994,0.8655,0.9284,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v2/mobilenet_v2_pytorch_class_2024_3_9_21_5_raspberryos_onlylat.csv
mobilenet_v2_q,ubuntus,pytorch,class,0.0289440618340012,0.8564,0.9269,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v2_q/mobilenet_v2_q_pytorch_class_2024_3_8_13_38_ubuntus_onlylat.csv
mobilenet_v2_q,raspberryos,pytorch,class,0.0291893824320035,0.8564,0.9269,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v2_q/mobilenet_v2_q_pytorch_class_2024_3_9_21_13_raspberryos_onlylat.csv
lite-model_mobilenet_v2_100_224_fp32_1,ubuntus,delegate,class,0.0523325411300001,0.8542,0.924,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_delegate_class_2024_3_8_12_20_ubuntus_onlylat.csv
lite-model_mobilenet_v2_100_224_uint8_1,ubuntus,delegate,class,0.0278345168520012,0.8479,0.9171,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_delegate_class_2024_3_8_12_23_ubuntus_onlylat.csv
lite-model_mobilenet_v3_large_100_224_fp32_1,ubuntus,delegate,class,0.0453136516620017,0.8556,0.9232,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_3_8_12_14_ubuntus_onlylat.csv
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,delegate,class,0.027223987239999,0.8556,0.913,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_delegate_class_2024_3_8_12_17_ubuntus_onlylat.csv
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,delegate,class,0.0199928392089986,0.8038,0.8747,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_delegate_class_2024_3_8_12_18_ubuntus_onlylat.csv
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,delegate,class,0.0131077585460013,0.7268,0.7653,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_delegate_class_2024_3_8_12_20_ubuntus_onlylat.csv
