,Model,Frameworks,inference type,Mean Latency [s],Top1,Top5,mAP,mIoU,latency,Median Latency [s],Standard Deviation [s],Variance [s²]
39,Yolov5m,ONNX,det,2.5658269180580064,,,0.318,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5m/yolov5m_onnx_det_2024_5_22_15_15_ubuntus_3_onlylat.csv,2.565153866500168,0.010547931832067687,0.0001112588659339468
40,Yolov5n,ONNX,det,0.5308960886989734,,,0.154,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5n/yolov5n_onnx_det_2024_5_22_15_58_ubuntus_3_onlylat.csv,0.5307594189998781,0.0031404828053149883,9.862632250479098e-06
41,Yolov5s,ONNX,det,1.0283740141909783,,,0.238,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5s/yolov5s_onnx_det_2024_5_22_16_7_ubuntus_3_onlylat.csv,1.0289911589998155,0.010886427253209364,0.00011851429833941957
42,Yolov5s,OpenVINO,det,0.9895916565540338,,,0.289,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5s/yolov5s_ov_det_2024_5_22_18_9_ubuntus_3_onlylat.csv,0.9891115945010824,0.013011003593432541,0.00016928621450831448
43,Yolov5m,OpenVINO,det,2.0203582274320344,,,0.36,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5m/yolov5m_ov_det_2024_5_22_17_34_ubuntus_3_onlylat.csv,2.0186091095001757,0.04114012405922516,0.0016925098076084368
44,Yolov5n,OpenVINO,det,0.4476165959269492,,,0.184,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5n/yolov5n_ov_det_2024_5_23_19_42_ubuntus_3_onlylat.csv,0.4473713335028151,0.003328357716851942,1.1077965091327874e-05
45,Yolov5l,OpenVINO,det,4.089123034262024,,,0.401,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5l/yolov5l_ov_det_2024_5_22_16_25_ubuntus_3_onlylat.csv,4.0767286889995376,0.1718163030999566,0.029520842010936157
46,Yolov5l,PyTorch,det,8.472705778521009,,,0.437,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5l/_pytorch_det_2025_5_6_11_16_ubuntus_3_onlylat.csv,8.468804917499938,0.07114720031995489,0.005061924113367789
47,Yolov5m,PyTorch,det,4.305250943016007,,,0.398,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5m/_pytorch_det_2025_5_6_13_55_ubuntus_3_onlylat.csv,4.297749639499898,0.03043611686745134,0.0009263572099691559
48,Yolov5n,PyTorch,det,1.0456038711819966,,,0.227,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5n/_pytorch_det_2025_5_6_15_34_ubuntus_3_onlylat.csv,1.0465787205002925,0.016970641520559302,0.00028800267361933136
49,Yolov5s,PyTorch,det,2.021437639671016,,,0.323,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/pytorch/yolov5s/_pytorch_det_2025_5_6_16_18_ubuntus_3_onlylat.csv,2.0225975625007777,0.015892585685767045,0.00025257427977944753
56,MobileNetV2,OpenVINO,class,0.1006177049209983,0.8768,0.9451,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v2-1.4-224_FP32/mobilenet-v2-14-224_FP32_ov_class_2024_6_12_20_26_ubuntus_3_onlylat.csv,0.10039232150000996,0.0010391244562352267,1.0797796355461556e-06
58,MobileNetV3 Large,OpenVINO,class,0.0495265114409983,0.8739,0.9455,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-large-1.0-224-tf_FP32/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_6_12_20_23_ubuntus_3_onlylat.csv,0.0494937884999444,0.00043288609561123513,1.873903717735394e-07
