,latency,thread count,API,Load
89,0.1154547639999918,1,onnx,No load
90,0.1154333380000025,1,onnx,No load
91,0.1156786340000053,1,onnx,No load
92,0.1156558950000317,1,onnx,No load
93,0.1157992260000355,1,onnx,No load
94,0.1156952090000231,1,onnx,No load
95,0.1157462449999684,1,onnx,No load
96,0.1160006510000357,1,onnx,No load
97,0.1156885970000303,1,onnx,No load
98,0.1158377629999449,1,onnx,No load
99,0.115780395999991,1,onnx,No load
100,0.11539978899998,1,onnx,No load
101,0.1158193770000934,1,onnx,No load
102,0.1159390979998988,1,onnx,No load
103,0.1157634520000101,1,onnx,No load
104,0.1157606740000574,1,onnx,No load
105,0.115539230999957,1,onnx,No load
106,0.1158298799999784,1,onnx,No load
107,0.1157494549999,1,onnx,No load
108,0.1155583089999936,1,onnx,No load
109,0.1158554909999338,1,onnx,No load
110,0.1158069919999889,1,onnx,No load
111,0.1158367320000479,1,onnx,No load
112,0.1158025469999302,1,onnx,No load
113,0.1158341050000899,1,onnx,No load
114,0.1155606080000097,1,onnx,No load
115,0.1157784030000357,1,onnx,No load
116,0.1155852189999677,1,onnx,No load
117,0.1157452170000397,1,onnx,No load
118,0.1156302549999281,1,onnx,No load
119,0.1156988100000262,1,onnx,No load
120,0.1154897760000039,1,onnx,No load
121,0.1157214609999073,1,onnx,No load
122,0.1158362369999395,1,onnx,No load
123,0.1157917570000108,1,onnx,No load
124,0.115998310000009,1,onnx,No load
125,0.1158095709999997,1,onnx,No load
126,0.1157959979999532,1,onnx,No load
127,0.1155424999999468,1,onnx,No load
128,0.1158045189999938,1,onnx,No load
129,0.1157638519999864,1,onnx,No load
130,0.1156906499999195,1,onnx,No load
131,0.1159586840000201,1,onnx,No load
132,0.1155884649999734,1,onnx,No load
133,0.1155824469999515,1,onnx,No load
134,0.1157275570000138,1,onnx,No load
135,0.1157872250000764,1,onnx,No load
136,0.115852096000026,1,onnx,No load
137,0.1157446890000528,1,onnx,No load
138,0.1158256879999726,1,onnx,No load
139,0.1161313889999746,1,onnx,No load
140,0.1158075029999281,1,onnx,No load
141,0.1157636149999916,1,onnx,No load
142,0.1155557289999933,1,onnx,No load
143,0.1156282109999438,1,onnx,No load
144,0.1156573969999499,1,onnx,No load
145,0.1156048409999357,1,onnx,No load
146,0.115615008000077,1,onnx,No load
147,0.1157767660000672,1,onnx,No load
148,0.1152024379999829,1,onnx,No load
149,0.1158443219999298,1,onnx,No load
150,0.1157304349999321,1,onnx,No load
151,0.1157203619999336,1,onnx,No load
152,0.1157824720000917,1,onnx,No load
153,0.1154124569999339,1,onnx,No load
154,0.1158780080000951,1,onnx,No load
155,0.1155297889999928,1,onnx,No load
156,0.1153183469999703,1,onnx,No load
