,Unnamed: 0,Frameworks,Mean Latency [s],latency,Core Count,Load,Median Latency [s],Standard Deviation [s],Variance [s²]
46,46,TFLite,0.0755894631151531,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_12_ubuntus_False_onlylat.csv,Default,Three Core Load,0.0753919270027836,0.001451197722137,2.1059748287356727e-06
45,45,TFLite,0.6065201287330015,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_9_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.6223000054999943,0.1802856752862011,0.0325029247134015
39,39,Arm NN Delegate,0.0839241199710122,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_37_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.0836961224999867,0.0035851672913221,1.2853424506766452e-05
47,47,TFLite,0.0757335246969997,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_6_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.0752579975000031,0.0047301080043355,2.2373921732678953e-05
37,37,Arm NN Delegate,0.0807639500869863,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_42_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.0767225509998752,0.0083474388938194,6.967973608604922e-05
36,36,Arm NN Delegate,0.0741350276910043,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_32_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.0738698109998949,0.0039439996597337,1.555513331597989e-05
38,38,Arm NN Delegate,0.0878180380900011,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_23_15_ubuntus_False_onlylat.csv,Default,Three Core Load,0.0929561249977268,0.0085615534120005,7.330019682653907e-05
85,85,Arm NN Delegate,0.0645108369970066,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_15_10_ubuntus_False_onlylat.csv,Default,Two Core Load,0.0625985705000857,0.0065030609603662,4.228980185423907e-05
97,97,TFLite,0.7212720141779883,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_19_12_ubuntus_4_onlylat.csv,Four Cores,Two Core Load,0.7215299944996332,0.0139923705936583,0.0001957864348302
96,96,TFLite,0.0782631239480396,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_10_ubuntus_False_onlylat.csv,Default,Two Core Load,0.0780605814979935,0.0009240178164424,8.538089251030021e-07
95,95,TFLite,0.4210470139629933,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_19_4_ubuntus_3_onlylat.csv,Three Cores,Two Core Load,0.4465579470002012,0.0774712964094784,0.0060018017673652
89,89,Arm NN Delegate,0.055207366567014,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_28_ubuntus_2_onlylat.csv,Two Cores,Two Core Load,0.0548618385000736,0.0035237944832457,1.2417127560153348e-05
88,88,Arm NN Delegate,0.0628922589029861,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_34_ubuntus_4_onlylat.csv,Four Cores,Two Core Load,0.0608663139996678,0.006446535755216,4.155782324327862e-05
87,87,Arm NN Delegate,0.0668101384560077,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_31_ubuntus_3_onlylat.csv,Three Cores,Two Core Load,0.0676465984997775,0.0036489988484166,1.3315192595745987e-05
86,86,Arm NN Delegate,0.0717871504610211,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_25_ubuntus_1_onlylat.csv,One Core,Two Core Load,0.0716322610001043,0.0043548738456484,1.8964926211512804e-05
84,84,OpenVINO,0.0615807318019978,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_15_16_ubuntus_False_onlylat.csv,Default,Two Core Load,0.0608827574997121,0.0040795205099869,1.664248759140416e-05
75,75,ONNX,0.198314172831002,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_16_15_12_ubuntus_False_onlylat.csv,Default,Two Core Load,0.2068959274997723,0.0355746403708575,0.0012655550375158
82,82,OpenVINO,0.0879977231440097,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_50_ubuntus_1_onlylat.csv,One Core,Two Core Load,0.0878501544998471,0.0013307136611294,1.7707988479165318e-06
81,81,OpenVINO,0.0613546758569754,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_57_ubuntus_4_onlylat.csv,Four Cores,Two Core Load,0.0603440265003882,0.0046572294898871,2.168978652147453e-05
80,80,OpenVINO,0.0655716295209858,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_53_ubuntus_2_onlylat.csv,Two Cores,Two Core Load,0.0633486385004289,0.0586685955408509,0.0034420041027359
79,79,ONNX,0.1244575558350142,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_37_ubuntus_1_onlylat.csv,One Core,Two Core Load,0.1246785164998982,0.0008205600962992,6.733188716386479e-07
78,78,ONNX,0.1440088065620029,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_42_ubuntus_3_onlylat.csv,Three Cores,Two Core Load,0.1406973385001037,0.0304038575760503,0.0009243945555047
77,77,ONNX,0.1829838508889852,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_46_ubuntus_4_onlylat.csv,Four Cores,Two Core Load,0.1794995009995545,0.0393763338139371,0.0015504956646266
76,76,ONNX,0.0989384927610117,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_40_ubuntus_2_onlylat.csv,Two Cores,Two Core Load,0.0988352560002567,0.0008493609499873,7.214140233634652e-07
98,98,TFLite,0.071276652765021,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_18_59_ubuntus_1_onlylat.csv,One Core,Two Core Load,0.0712310150001939,0.0005685521164429,3.2325150911173445e-07
83,83,OpenVINO,0.0637651922650019,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_55_ubuntus_3_onlylat.csv,Three Cores,Two Core Load,0.0627999719999934,0.0039743529196894,1.57954811302439e-05
99,99,TFLite,0.0520221731269993,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_19_2_ubuntus_2_onlylat.csv,Two Cores,Two Core Load,0.0519813169998997,0.0004567472417858,2.086180428789582e-07
