,Unnamed: 0,Frameworks,latency,thread,Load
4084,4084,ONNX,0.0819379689999095,Default,No Load
4083,4083,ONNX,0.0822467429999278,Default,No Load
4082,4082,ONNX,0.0824205549999987,Default,No Load
4081,4081,ONNX,0.0822215760000517,Default,No Load
4080,4080,ONNX,0.0820862820000911,Default,No Load
4079,4079,ONNX,0.082071725999981,Default,No Load
4078,4078,ONNX,0.0826543629999605,Default,No Load
4077,4077,ONNX,0.0819767219999221,Default,No Load
4076,4076,ONNX,0.0818604460000642,Default,No Load
4075,4075,ONNX,0.0819990549999829,Default,No Load
4074,4074,ONNX,0.0822761429999445,Default,No Load
4073,4073,ONNX,0.0823255320000271,Default,No Load
4072,4072,ONNX,0.0824131599999873,Default,No Load
4071,4071,ONNX,0.0821602370000391,Default,No Load
4070,4070,ONNX,0.0821304969999801,Default,No Load
4069,4069,ONNX,0.0821642560000555,Default,No Load
4068,4068,ONNX,0.0822737859999733,Default,No Load
4067,4067,ONNX,0.082229970999947,Default,No Load
4066,4066,ONNX,0.0820829360000061,Default,No Load
4065,4065,ONNX,0.0821644530000185,Default,No Load
4064,4064,ONNX,0.0819200500000079,Default,No Load
4063,4063,ONNX,0.0844468430000233,Default,No Load
4090,4090,ONNX,0.0824802629999794,Default,No Load
4062,4062,ONNX,0.0822144339999795,Default,No Load
4091,4091,ONNX,0.0822387299999718,Default,No Load
4093,4093,ONNX,0.0822081750000052,Default,No Load
4120,4120,ONNX,0.082119638999984,Default,No Load
4119,4119,ONNX,0.082976273999975,Default,No Load
4118,4118,ONNX,0.0823529130000224,Default,No Load
4117,4117,ONNX,0.0822763770000847,Default,No Load
4116,4116,ONNX,0.0822050750000471,Default,No Load
4115,4115,ONNX,0.0824851269999271,Default,No Load
4114,4114,ONNX,0.082112502999962,Default,No Load
4113,4113,ONNX,0.0820848370000248,Default,No Load
4112,4112,ONNX,0.0824914229999649,Default,No Load
4111,4111,ONNX,0.082337184000039,Default,No Load
4110,4110,ONNX,0.0822272970000312,Default,No Load
4109,4109,ONNX,0.0821378919999915,Default,No Load
4108,4108,ONNX,0.0828211410000676,Default,No Load
4107,4107,ONNX,0.0822690549999833,Default,No Load
4106,4106,ONNX,0.0821640520000528,Default,No Load
4105,4105,ONNX,0.0822419769999669,Default,No Load
4104,4104,ONNX,0.0820778680000557,Default,No Load
4103,4103,ONNX,0.082016201999977,Default,No Load
4102,4102,ONNX,0.082230643999992,Default,No Load
4101,4101,ONNX,0.0829452990000163,Default,No Load
4100,4100,ONNX,0.0822517169999628,Default,No Load
4099,4099,ONNX,0.0822446429999672,Default,No Load
4098,4098,ONNX,0.0822111619999077,Default,No Load
4097,4097,ONNX,0.0823076010000249,Default,No Load
4096,4096,ONNX,0.0826680190000388,Default,No Load
4095,4095,ONNX,0.0821132129999568,Default,No Load
4094,4094,ONNX,0.082396784000025,Default,No Load
4092,4092,ONNX,0.0824290600000949,Default,No Load
4061,4061,ONNX,0.0822293229999786,Default,No Load
4060,4060,ONNX,0.0821860089999972,Default,No Load
4059,4059,ONNX,0.081783181999981,Default,No Load
4026,4026,ONNX,0.0821488729999373,Default,No Load
4025,4025,ONNX,0.0820995960000345,Default,No Load
4024,4024,ONNX,0.0825260889999981,Default,No Load
4023,4023,ONNX,0.0820636339999509,Default,No Load
4022,4022,ONNX,0.082166261999987,Default,No Load
4021,4021,ONNX,0.0821632979999549,Default,No Load
4020,4020,ONNX,0.0819629249999707,Default,No Load
4019,4019,ONNX,0.0819730549999349,Default,No Load
4018,4018,ONNX,0.0820078130000183,Default,No Load
4017,4017,ONNX,0.0823988810000173,Default,No Load
4016,4016,ONNX,0.0822856060000276,Default,No Load
4015,4015,ONNX,0.0820294619999231,Default,No Load
4014,4014,ONNX,0.0819355739999991,Default,No Load
4013,4013,ONNX,0.0823041969999849,Default,No Load
4012,4012,ONNX,0.0821143679999067,Default,No Load
4011,4011,ONNX,0.0821195519999946,Default,No Load
4010,4010,ONNX,0.0816794789999448,Default,No Load
4009,4009,ONNX,0.082064657999922,Default,No Load
4008,4008,ONNX,0.0818923269999913,Default,No Load
4007,4007,ONNX,0.0822118219999765,Default,No Load
4006,4006,ONNX,0.0820242879999568,Default,No Load
4005,4005,ONNX,0.0833989140000994,Default,No Load
4004,4004,ONNX,0.0835867079999843,Default,No Load
4003,4003,ONNX,0.0892495790000111,Default,No Load
4002,4002,ONNX,0.0831841579999945,Default,No Load
4001,4001,ONNX,0.0831655810000029,Default,No Load
4000,4000,ONNX,0.0956606720000081,Default,No Load
4027,4027,ONNX,0.0821352250000018,Default,No Load
4028,4028,ONNX,0.0988390329999902,Default,No Load
4029,4029,ONNX,0.0819875050000291,Default,No Load
4030,4030,ONNX,0.0817879940000239,Default,No Load
4058,4058,ONNX,0.0822706499999412,Default,No Load
4057,4057,ONNX,0.0823369439999623,Default,No Load
4056,4056,ONNX,0.0821044110000457,Default,No Load
4055,4055,ONNX,0.0821630949999416,Default,No Load
4054,4054,ONNX,0.0820051540000577,Default,No Load
4053,4053,ONNX,0.08177308300003,Default,No Load
4052,4052,ONNX,0.081892340999957,Default,No Load
4051,4051,ONNX,0.0838502359999893,Default,No Load
4050,4050,ONNX,0.0821916690000534,Default,No Load
4049,4049,ONNX,0.0819508179999957,Default,No Load
4048,4048,ONNX,0.0823284010000406,Default,No Load
4047,4047,ONNX,0.0823617160000367,Default,No Load
4046,4046,ONNX,0.0821132199999965,Default,No Load
4121,4121,ONNX,0.0820495469999968,Default,No Load
4045,4045,ONNX,0.0818752790000871,Default,No Load
4043,4043,ONNX,0.0823900670000057,Default,No Load
4042,4042,ONNX,0.0829924649999611,Default,No Load
4041,4041,ONNX,0.0821511820000751,Default,No Load
4040,4040,ONNX,0.0821246269999846,Default,No Load
4039,4039,ONNX,0.0823705239999981,Default,No Load
4038,4038,ONNX,0.0824834109999983,Default,No Load
4037,4037,ONNX,0.0819803819999833,Default,No Load
4036,4036,ONNX,0.0822850069999958,Default,No Load
4035,4035,ONNX,0.0822375259999717,Default,No Load
4034,4034,ONNX,0.0820833620000485,Default,No Load
4033,4033,ONNX,0.0821200650000264,Default,No Load
4032,4032,ONNX,0.0823888200000055,Default,No Load
4031,4031,ONNX,0.0885287769999649,Default,No Load
4044,4044,ONNX,0.0817381150000073,Default,No Load
4122,4122,ONNX,0.0821124349999991,Default,No Load
4123,4123,ONNX,0.0823125059999938,Default,No Load
4124,4124,ONNX,0.0822417659999246,Default,No Load
4214,4214,ONNX,0.0820794549999845,Default,No Load
4213,4213,ONNX,0.0821971749999193,Default,No Load
4212,4212,ONNX,0.0821112269999275,Default,No Load
4211,4211,ONNX,0.0823206680000794,Default,No Load
4210,4210,ONNX,0.082294002000026,Default,No Load
4209,4209,ONNX,0.0821032459999742,Default,No Load
4208,4208,ONNX,0.0822662799999989,Default,No Load
4207,4207,ONNX,0.082055875999913,Default,No Load
4206,4206,ONNX,0.0828889190000836,Default,No Load
4205,4205,ONNX,0.0820901529999673,Default,No Load
4204,4204,ONNX,0.0821629670000447,Default,No Load
4203,4203,ONNX,0.0822454829999514,Default,No Load
4202,4202,ONNX,0.0857346129999996,Default,No Load
4201,4201,ONNX,0.0845112970000627,Default,No Load
4200,4200,ONNX,0.0821077950000699,Default,No Load
4199,4199,ONNX,0.0820636660000673,Default,No Load
4198,4198,ONNX,0.0820031859999517,Default,No Load
4197,4197,ONNX,0.0821516839999958,Default,No Load
4196,4196,ONNX,0.0822259970000232,Default,No Load
4195,4195,ONNX,0.082102979999945,Default,No Load
4194,4194,ONNX,0.0822950519999494,Default,No Load
4193,4193,ONNX,0.0821473459999424,Default,No Load
4192,4192,ONNX,0.0821078830000487,Default,No Load
4191,4191,ONNX,0.0822996759999341,Default,No Load
4190,4190,ONNX,0.0818977190000396,Default,No Load
4189,4189,ONNX,0.0824976909999577,Default,No Load
4188,4188,ONNX,0.0818930709999676,Default,No Load
4215,4215,ONNX,0.0820462709999674,Default,No Load
4216,4216,ONNX,0.0830790889999661,Default,No Load
4217,4217,ONNX,0.0820255670000733,Default,No Load
4218,4218,ONNX,0.082209490000082,Default,No Load
4246,4246,ONNX,0.0838037800000393,Default,No Load
4245,4245,ONNX,0.0821648040000582,Default,No Load
4244,4244,ONNX,0.0821461919999819,Default,No Load
4243,4243,ONNX,0.0821293779999905,Default,No Load
4242,4242,ONNX,0.0823468009999714,Default,No Load
4241,4241,ONNX,0.0821080029999166,Default,No Load
4240,4240,ONNX,0.0822903519999727,Default,No Load
4239,4239,ONNX,0.082062020999956,Default,No Load
4238,4238,ONNX,0.0819010059999527,Default,No Load
4237,4237,ONNX,0.082856528000093,Default,No Load
4236,4236,ONNX,0.082180204999986,Default,No Load
4235,4235,ONNX,0.0823125000000573,Default,No Load
4234,4234,ONNX,0.0822787779999316,Default,No Load
4187,4187,ONNX,0.0821989370000437,Default,No Load
4233,4233,ONNX,0.081995466999956,Default,No Load
4231,4231,ONNX,0.0822429400000146,Default,No Load
4230,4230,ONNX,0.0821155529999941,Default,No Load
4229,4229,ONNX,0.0820709979999492,Default,No Load
4228,4228,ONNX,0.0820495530000471,Default,No Load
4227,4227,ONNX,0.0821455340000056,Default,No Load
4226,4226,ONNX,0.0819966659998954,Default,No Load
4225,4225,ONNX,0.0822802720000481,Default,No Load
4224,4224,ONNX,0.082116904999907,Default,No Load
4223,4223,ONNX,0.0821308669999325,Default,No Load
4222,4222,ONNX,0.0821843260000605,Default,No Load
4221,4221,ONNX,0.0819596419999015,Default,No Load
4220,4220,ONNX,0.082763223000029,Default,No Load
4219,4219,ONNX,0.0820149929999161,Default,No Load
4232,4232,ONNX,0.0821932970000034,Default,No Load
4497,4497,ONNX,0.0825801639999781,Default,No Load
4186,4186,ONNX,0.0823962300000857,Default,No Load
4184,4184,ONNX,0.0819401439999865,Default,No Load
4151,4151,ONNX,0.0821996909999143,Default,No Load
4150,4150,ONNX,0.0819412509999892,Default,No Load
4149,4149,ONNX,0.0819875839999895,Default,No Load
4148,4148,ONNX,0.0834729130000369,Default,No Load
4147,4147,ONNX,0.0821316000000251,Default,No Load
4146,4146,ONNX,0.0823992450000332,Default,No Load
4145,4145,ONNX,0.082233685999995,Default,No Load
4144,4144,ONNX,0.0822375180000563,Default,No Load
4143,4143,ONNX,0.0821679270000004,Default,No Load
4142,4142,ONNX,0.0823004630000241,Default,No Load
4141,4141,ONNX,0.0821726679999983,Default,No Load
4140,4140,ONNX,0.0823738500000672,Default,No Load
4139,4139,ONNX,0.0822722770000154,Default,No Load
4138,4138,ONNX,0.0820826509999506,Default,No Load
4137,4137,ONNX,0.0820533730000079,Default,No Load
4136,4136,ONNX,0.082374738999988,Default,No Load
4135,4135,ONNX,0.0823779180000201,Default,No Load
4134,4134,ONNX,0.0821333289999302,Default,No Load
4133,4133,ONNX,0.0823552520000703,Default,No Load
4132,4132,ONNX,0.0822767160000239,Default,No Load
4131,4131,ONNX,0.0820838669999375,Default,No Load
4130,4130,ONNX,0.0823403260000077,Default,No Load
4129,4129,ONNX,0.0821673100000452,Default,No Load
4128,4128,ONNX,0.0822339200000215,Default,No Load
4127,4127,ONNX,0.0823163820000445,Default,No Load
4126,4126,ONNX,0.0822331770000346,Default,No Load
4125,4125,ONNX,0.0820244540000203,Default,No Load
4152,4152,ONNX,0.0829812539999466,Default,No Load
4153,4153,ONNX,0.081863697000017,Default,No Load
4154,4154,ONNX,0.0820348979999607,Default,No Load
4155,4155,ONNX,0.0821085490000541,Default,No Load
4183,4183,ONNX,0.0824050019999731,Default,No Load
4182,4182,ONNX,0.0822825230000035,Default,No Load
4181,4181,ONNX,0.0821900790000427,Default,No Load
4180,4180,ONNX,0.0820416560000012,Default,No Load
4179,4179,ONNX,0.0821129329999621,Default,No Load
4178,4178,ONNX,0.083324507000043,Default,No Load
4177,4177,ONNX,0.0821729129999084,Default,No Load
4176,4176,ONNX,0.0823111890000518,Default,No Load
4175,4175,ONNX,0.0821922830000403,Default,No Load
4174,4174,ONNX,0.0821510949999719,Default,No Load
4173,4173,ONNX,0.082226979999973,Default,No Load
4172,4172,ONNX,0.0821481489999769,Default,No Load
4171,4171,ONNX,0.0821209450000424,Default,No Load
4185,4185,ONNX,0.0821194940000396,Default,No Load
4170,4170,ONNX,0.0822737940000024,Default,No Load
4168,4168,ONNX,0.0824590879999505,Default,No Load
4167,4167,ONNX,0.0822502019999547,Default,No Load
4166,4166,ONNX,0.0822149069999795,Default,No Load
4165,4165,ONNX,0.0821144629999253,Default,No Load
4164,4164,ONNX,0.0823882320000848,Default,No Load
4163,4163,ONNX,0.0818797389999872,Default,No Load
4162,4162,ONNX,0.0822540490000847,Default,No Load
4161,4161,ONNX,0.0819760710000991,Default,No Load
4160,4160,ONNX,0.082824243999994,Default,No Load
4159,4159,ONNX,0.0824512500000764,Default,No Load
4158,4158,ONNX,0.0823074369999403,Default,No Load
4157,4157,ONNX,0.0822049939999942,Default,No Load
4156,4156,ONNX,0.0821966610000117,Default,No Load
4169,4169,ONNX,0.0823274050000009,Default,No Load
4498,4498,ONNX,0.0820320049999736,Default,No Load
4998,4998,ONNX,0.0829502569999931,Default,No Load
4500,4500,ONNX,0.0825829249999969,Default,No Load
4841,4841,ONNX,0.0819849920000024,Default,No Load
4840,4840,ONNX,0.0822654350000675,Default,No Load
4839,4839,ONNX,0.0821040649999531,Default,No Load
4838,4838,ONNX,0.0825483570000642,Default,No Load
4837,4837,ONNX,0.0821561389999487,Default,No Load
4836,4836,ONNX,0.0818621979999534,Default,No Load
4835,4835,ONNX,0.082230490000029,Default,No Load
4834,4834,ONNX,0.082425636000039,Default,No Load
4833,4833,ONNX,0.0819174360000261,Default,No Load
4832,4832,ONNX,0.0820935630000576,Default,No Load
4831,4831,ONNX,0.0824180959999694,Default,No Load
4830,4830,ONNX,0.0819222490000584,Default,No Load
4829,4829,ONNX,0.0821556549999513,Default,No Load
4828,4828,ONNX,0.0821862089999285,Default,No Load
4827,4827,ONNX,0.0823129489999701,Default,No Load
