,model_name,latency avg,latency,thread count,load
74,tf,0.4158321084219981,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_59_ubuntus_4_onlylat.csv,4,1 thread load
75,onnx,0.198314172831002,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_16_15_12_ubuntus_False_onlylat.csv,Default,2 thread load
76,onnx,0.0989384927610117,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_40_ubuntus_2_onlylat.csv,2,2 thread load
77,onnx,0.1829838508889852,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_46_ubuntus_4_onlylat.csv,4,2 thread load
78,onnx,0.1440088065620029,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_42_ubuntus_3_onlylat.csv,3,2 thread load
79,onnx,0.1244575558350142,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_37_ubuntus_1_onlylat.csv,1,2 thread load
80,openvino,0.0655716295209858,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_53_ubuntus_2_onlylat.csv,2,2 thread load
81,openvino,0.0613546758569754,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_57_ubuntus_4_onlylat.csv,4,2 thread load
82,openvino,0.0879977231440097,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_50_ubuntus_1_onlylat.csv,1,2 thread load
83,openvino,0.0637651922650019,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_55_ubuntus_3_onlylat.csv,3,2 thread load
84,openvino,0.0615807318019978,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_15_16_ubuntus_False_onlylat.csv,Default,2 thread load
85,delegate,0.0645108369970066,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_15_10_ubuntus_False_onlylat.csv,Default,2 thread load
86,delegate,0.0717871504610211,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_25_ubuntus_1_onlylat.csv,1,2 thread load
87,delegate,0.0668101384560077,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_31_ubuntus_3_onlylat.csv,3,2 thread load
88,delegate,0.0628922589029861,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_34_ubuntus_4_onlylat.csv,4,2 thread load
89,delegate,0.055207366567014,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_19_28_ubuntus_2_onlylat.csv,2,2 thread load
95,tf,0.4210470139629933,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_19_4_ubuntus_3_onlylat.csv,3,2 thread load
96,tf,0.0782631239480396,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_10_ubuntus_False_onlylat.csv,Default,2 thread load
97,tf,0.7212720141779883,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_19_12_ubuntus_4_onlylat.csv,4,2 thread load
98,tf,0.071276652765021,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_18_59_ubuntus_1_onlylat.csv,1,2 thread load
99,tf,0.0520221731269993,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_19_2_ubuntus_2_onlylat.csv,2,2 thread load
